country,biennial_assessment_invoiced_2020_usd,biennial_assessment_invoiced_2020_chf,biennial_assessment_collected_or_adjusted_2020_usd,biennial_assessment_collected_or_adjusted_2020_chf,biennial_assessment_balance_outstanding_usd_(A),biennial_assessment_balance_outstanding_chf_(A),balance_for_prior_years_as_at_31_dec_19_usd,prior_financial_periods_balance_for_prior_years_as_at_31_dec_19_chf,prior_financial_periods_collected_or_adjusted_during_current_biennial_usd,prior_financial_periods_collected_or_adjusted_during_current_biennial_chf,prior_financial_periods_balance_outstanding_usd_(B),prior_financial_periods_balance_outstanding_chf_(B),rescheduled_assessment_rescheduled_assessment_usd,rescheduled_assessment_collected_or_adjusted_2020-2021_usd,rescheduled_assessment_collected_or_adjusted_from_prior_years_as_at_31_dec_19_usd,rescheduled_assessment_balance_outstanding_(C),total_outstanding_usd_(A)+(B)+(C),total_outstanding_chf_(A)+(B)+(C)
Hungary,492820,503169,410038,503169,82782,0,0,0,0,0,0,0,0,0,0,0,82782,0
Iceland,133970,0,0,0,133970,0,0,0,0,0,0,0,0,0,0,0,133970,0
India,1995205,2037104,1995205,0,0,2037104,0,0,0,0,0,0,0,0,0,0,0,2037104
Indonesia,1299035,1326315,0,0,1299035,1326315,0,0,0,0,0,0,0,0,0,0,1299035,1326315
Iran (Islamic Republic of),952150,972145,0,0,952150,972145,2324814,2701245,0,0,2324814,2701245,0,0,0,0,3276964,3673390
Iraq,308610,315091,0,0,308610,315091,0,0,0,0,0,0,5972222,0,5548510,423712,732322,315091
Ireland,887555,906194,887555,906194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,1172240,1196857,0,0,1172240,1196857,0,563423,0,0,0,563423,0,0,0,0,1172240,1760280
Italy,7911430,8077570,7911430,8034286,0,43284,36449,64182,36449,64182,0,0,0,0,0,0,0,43284
Jamaica,38280,0,38280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,20487900,20918146,0,0,20487900,20918146,0,0,0,0,0,0,0,0,0,0,20487900,20918146
Jordan,100480,0,9284,0,91196,0,182096,0,182096,0,0,0,0,0,0,0,91196,0
Kazakhstan,425835,434777,0,0,425835,434777,0,0,0,0,0,0,1095365,0,1095365,0,425835,434777
Kenya,114840,0,0,0,114840,0,0,0,0,0,0,0,0,0,0,0,114840,0
Kiribati,4790,0,759,0,4031,0,0,0,0,0,0,0,0,0,0,0,4031,0
Kuwait,602870,615530,0,0,602870,615530,1870659,1985577,638642,627491,1232017,1358086,0,0,0,0,1834887,1973616
Kyrgyzstan,9570,0,0,0,9570,0,0,0,0,0,0,0,1213895,0,432350,781545,791115,0
Lao People's Democratic Republic,23930,0,0,0,23930,0,14350,0,0,0,14350,0,0,0,0,0,38280,0
Latvia,112440,114801,112440,114801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,112440,114801,0,0,112440,114801,220080,267341,0,0,220080,267341,0,0,0,0,332520,382142
Lesotho,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Liberia,4790,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,143540,0,0,0,143540,0,888365,730183,290315,21773,598050,708410,0,0,0,0,741590,708410
Lithuania,169855,173422,169855,173422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,160285,163651,0,0,160285,163651,0,0,0,0,0,0,0,0,0,0,160285,163651
Madagascar,19140,0,0,0,19140,0,14686,0,0,0,14686,0,0,0,0,0,33826,0
Malawi,9570,0,0,0,9570,0,19140,0,0,0,19140,0,0,0,0,0,28710,0
Malaysia,815785,832916,815785,832916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,19140,0,1000,0,18140,0,0,0,0,0,0,0,0,0,0,0,18140,0
Mali,19140,0,19140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,81340,0,0,0,81340,0,0,0,0,0,0,0,0,0,0,0,81340,0
Marshall Islands,4790,0,0,0,4790,0,4780,0,0,0,4780,0,0,0,0,0,9570,0
Mauritania,9570,0,9570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,52630,0,4644,0,47986,0,0,0,0,0,0,0,0,0,0,0,47986,0
Mexico,3090890,3155799,0,0,3090890,3155799,1335533,2329374,12384,0,1323149,2329374,0,0,0,0,4414039,5485173
Micronesia (Federated States of),4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Monaco,52630,0,52630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,23930,0,0,0,23930,0,91,0,0,0,91,0,0,0,0,0,24021,0
Montenegro,19140,0,0,0,19140,0,0,0,0,0,0,0,0,0,0,0,19140,0
Morocco,131580,134343,131580,134343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,19140,0,0,0,19140,0,0,0,0,0,0,0,0,0,0,0,19140,0
Myanmar,47850,0,47850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,43060,0,0,0,43060,0,0,0,0,0,0,0,0,0,0,0,43060,0
Nauru,4790,0,0,0,4790,0,693,0,0,0,693,0,0,0,0,0,5483,0
Nepal,33500,0,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,3244000,3312124,3244000,3312124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,696170,710790,696170,710790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,23930,0,23930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,9570,0,0,0,9570,0,617,0,0,0,617,0,0,0,0,0,10187,0
Nigeria,598085,610645,0,0,598085,610645,0,59472,0,0,0,59472,0,0,0,0,598085,670117
Niue,4790,0,0,0,4790,0,9560,0,9560,0,0,0,0,0,0,0,4790,0
North Macedonia,33500,0,0,0,33500,0,66010,0,33490,0,32520,0,0,0,0,0,66020,0
Norway,1803815,1841695,1803815,1841695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,275120,280898,0,0,275120,280898,270315,269233,0,0,270315,269233,0,0,0,0,545435,550131
Pakistan,275120,280898,0,0,275120,280898,222475,423951,0,0,222475,423951,0,0,0,0,497595,704849
Palau,4790,0,0,0,4790,0,4510,0,0,0,4510,0,0,0,0,0,9300,0
Panama,107655,109916,0,0,107655,109916,162670,0,0,0,162670,0,0,0,0,0,270325,109916
Papua New Guinea,47850,0,0,0,47850,0,0,0,0,0,0,0,0,0,0,0,47850,0
